,,,,,,,
,Divendres 14,,,,,,MASCULI
22-23h,,,,,,,
23-0h,,,,,,,
0-1h,,,,,,,
,,,,,,,
,LIMIT FINALITZACIÓ LLIGA,,,,,,"PETANCA, DOMINO, TENIS, FRONTON, PADEL, BILLAR"
,,,,,,,
,Divendres 28,,,,,,
,Club De Begues,,Poliesportiu,,Altres,,
17-18h,,,,,,,
18-19h,,,,FUTBOL SALA PREV. F.,,,
19-20h,,,,FUTBOL SALA SEMIS,,,
20-21h,,,,FUTBOL SALA SEMIS,DARDS 9-10,,
21-22h,,,FUTBOL SALA 9,,DARDS FINALS,,
22-23h,,,FUTBOL SALA 10,,,,
23-0h,,,,FUTBOL SALA SEMIS,,,
0-1h,,,,FUTBOL SALA SEMIS,,,
,,,,,,,
,LIMIT 3ª-4ª I FINALS,,,,,,"PETANCA, DOMINO, TENIS, FRONTON, PADEL, BILLAR"
,,,,,,,
,Dissabte 29,,,,,,
,Club De Begues,,Poliesportiu,,Altres,,
9-10h,,,,,,,
10-11h,,,,,,,
11-12h,,,,FUTBOL SALA 3ª-4ª,,,
12-13h,,,,FUTBOL SALA 3ª-4ª,,,
13-14h,,,BASQUET 9-10,,,,
14-15h,,,,HANDBALL PREV. F.,,,
15-16h,,,,HANDBALL FINAL,,,
16-17h,,,,HANDBALL FINAL,,,
17-18h,,,HANDBALL 9,,,,
18-19h,,,HANDBALL 10,,,,
19-20h,,,,FUTBOL SALA FINAL,,,
20-21h,,,,FUTBOL SALA FINAL,,,
21-22h,SOPAR CLOENDA,,,,,,
22-23h,,,,,,,
23-0h,,,,,,,
0-6h,,,,,,,
